guard_suicide,guard_accidents,guard_selfHarm,guard_depression,guard_racism,guard_eatingDisorders
0.68903977,0.79620045,0.7919055,0.67340386,0.62364876,0.8175725
0.68345106,0.82573396,0.7577442,0.6029997,0.5387584,0.75349873
0.6191364,0.7943392,0.764686,0.6500751,0.46570414,0.78414893
0.65431833,0.6640555,0.791714,0.64836276,0.6404786,0.81971574
0.6187145,0.74686676,0.75839204,0.5773442,0.44312203,0.7594399
0.77703935,0.638828,0.82059574,0.6697725,0.5975883,0.82503694
0.6458067,0.7231387,0.80001247,0.6533791,0.63194656,0.82595974
0.6875713,0.87153125,0.80164963,0.69380933,0.5147883,0.80205417
0.7658435,0.8434567,0.8080938,0.71958363,0.6098916,0.7998938
0.6789312,0.88886243,0.78155214,0.73076105,0.47187558,0.7794692
0.7309146,0.7363506,0.8522299,0.7067671,0.6442737,0.8785117
0.60937834,0.63837725,0.7628171,0.627087,0.55203885,0.79036945
0.780447,0.58023137,0.8498937,0.75646645,0.64501524,0.8412108
0.6934999,0.6130917,0.78072274,0.6772359,0.5897726,0.78740406
0.71672404,0.81202483,0.7934868,0.6893515,0.63264555,0.795139
0.77555054,0.7923767,0.80777144,0.7147389,0.6261549,0.8015695
0.630855,0.7591163,0.77327675,0.60943025,0.4762113,0.7761265
0.6851315,0.6560311,0.81396675,0.62811816,0.601458,0.82640505
0.67100734,0.88385564,0.774542,0.6817536,0.48078358,0.7793697
0.6751281,0.70667773,0.82214487,0.7247514,0.60373604,0.8424913
0.6064532,0.8927193,0.7437101,0.66916716,0.47886994,0.75997454
0.67669445,0.90923244,0.79462206,0.67478293,0.51814044,0.79961187
0.7201217,0.7741044,0.82759213,0.7231279,0.6417298,0.83562934
0.53605497,0.61038524,0.7168975,0.55993223,0.57069963,0.75334966
0.67702836,0.73924625,0.8209122,0.68792075,0.52576166,0.82622653
0.6228328,0.7186443,0.79432136,0.63469046,0.49770206,0.8062533
0.7655763,0.8190032,0.8226596,0.6942595,0.64263594,0.8333562
0.68372226,0.63166744,0.81226534,0.6216556,0.5736793,0.8194897
0.6702986,0.77498984,0.778682,0.61907244,0.5956939,0.79589456
0.80496335,0.77861303,0.8156971,0.7560098,0.6469227,0.8075896
0.5911028,0.8779821,0.75745296,0.64759916,0.4502459,0.7762344
0.70496047,0.71788937,0.8230056,0.70226455,0.6764801,0.8387036
0.66045386,0.5647621,0.77273333,0.62995553,0.6597069,0.7906654
0.77540547,0.7422175,0.855449,0.81175965,0.591864,0.8559211
0.60222286,0.8696554,0.77065486,0.66110307,0.4688653,0.7830048
0.6961623,0.68350506,0.84370005,0.7113485,0.62070465,0.8558694
0.62191796,0.70318586,0.7807228,0.6104764,0.4866292,0.78661007
0.62024224,0.7554299,0.77274436,0.62019765,0.51047355,0.78953713
0.6903326,0.6996687,0.7833943,0.627348,0.5706958,0.78925
0.65977347,0.8897853,0.77087325,0.6729301,0.49020404,0.7740908
0.694669,0.8044484,0.7903865,0.6540522,0.5431003,0.7998775
0.70880353,0.67810094,0.7939975,0.6519358,0.52979803,0.8123728
0.64460653,0.9412551,0.75465554,0.63387644,0.4749029,0.7509502
0.693134,0.6363037,0.8279039,0.6972354,0.67680895,0.8501121
0.60999364,0.6932113,0.7785891,0.6266922,0.60552794,0.8175714
0.6792084,0.8983579,0.7884771,0.70237035,0.48418224,0.7875902
