StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,introquestion,age,pushnotifications,readarticles,topicsinterested,distressed_1,distressed_2,distressed_3,distressed_4,distressed_5,distressed_6,distressed_7,distressed_8,distressed_9,distressed_10,distressed_11,distressed_12,distressed_13,distressed_14,distressed_15,distressed_16,distressed_17,distressed_18,guarding_1,guarding_2,guarding_3,guarding_4,guarding_5,guarding_6,guarding_7,guarding_8,guarding_9,guarding_10,guarding_11,guarding_12,guarding_12_TEXT,guarding_13,guarding_13_TEXT,guarding_14,guarding_14_TEXT,additional
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you wish to continue?,What is your age?,"On average, how often do you receive push notifications on news?","On average, how often do you read news articles?","When reading news articles, what topics are you mainly interested in? Please check the boxes.",Have you ever felt distressed after consuming news on any of these topics? - Eu politics,Have you ever felt distressed after consuming news on any of these topics? - Crimes,Have you ever felt distressed after consuming news on any of these topics? - Israeli-Palestinian conflict,Have you ever felt distressed after consuming news on any of these topics? - Immigration,Have you ever felt distressed after consuming news on any of these topics? - Sports,Have you ever felt distressed after consuming news on any of these topics? - (Ukrainian) War,Have you ever felt distressed after consuming news on any of these topics? - Climate change,Have you ever felt distressed after consuming news on any of these topics? - Show business & Arts,Have you ever felt distressed after consuming news on any of these topics? - COVID-19,Have you ever felt distressed after consuming news on any of these topics? - British politics / Brexit,Have you ever felt distressed after consuming news on any of these topics? - Institutional abuse,Have you ever felt distressed after consuming news on any of these topics? - Space-travel,Have you ever felt distressed after consuming news on any of these topics? - Protests,Have you ever felt distressed after consuming news on any of these topics? - Terrorism,Have you ever felt distressed after consuming news on any of these topics? - US politics,Have you ever felt distressed after consuming news on any of these topics? - Natural disasters,Have you ever felt distressed after consuming news on any of these topics? - Elections,Have you ever felt distressed after consuming news on any of these topics? - Economy,Would you like your recommender system to guard you from articles about: - Suicide,"Would you like your recommender system to guard you from articles about: - Accidents (plane, train, car, etc.)",Would you like your recommender system to guard you from articles about: - Physical abuse,Would you like your recommender system to guard you from articles about: - Sexual abuse,Would you like your recommender system to guard you from articles about: - Self-harm,Would you like your recommender system to guard you from articles about: - Depression,Would you like your recommender system to guard you from articles about: - Racism,Would you like your recommender system to guard you from articles about: - LGBTQ+ discrimination,Would you like your recommender system to guard you from articles about: - Eating disorders,Would you like your recommender system to guard you from articles about: - Disabilities discrimination,Would you like your recommender system to guard you from articles about: - Animal cruelty,Would you like your recommender system to guard you from articles about: - Other:,Would you like your recommender system to guard you from articles about: - Other: - Text,Would you like your recommender system to guard you from articles about: - Other:,Would you like your recommender system to guard you from articles about: - Other: - Text,Would you like your recommender system to guard you from articles about: - Other:,Would you like your recommender system to guard you from articles about: - Other: - Text,Can you think of any additional news topics that distress you?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_11""}","{""ImportId"":""QID13_12""}","{""ImportId"":""QID13_13""}","{""ImportId"":""QID13_14""}","{""ImportId"":""QID13_15""}","{""ImportId"":""QID13_16""}","{""ImportId"":""QID13_17""}","{""ImportId"":""QID13_18""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_10""}","{""ImportId"":""QID17_11""}","{""ImportId"":""QID17_12""}","{""ImportId"":""QID17_12_TEXT""}","{""ImportId"":""QID17_13""}","{""ImportId"":""QID17_13_TEXT""}","{""ImportId"":""QID17_14""}","{""ImportId"":""QID17_14_TEXT""}","{""ImportId"":""QID24_TEXT""}"
2023-03-19 16:02:48,2023-03-19 16:05:24,IP Address,213.124.170.67,100,155,True,2023-03-19 16:05:24,R_2w6xls0piuMa8hm,,,,,51.8336,5.8857,anonymous,EN,"Yes, continue the survey",24,Every day,Once per week,"EU politics,Immigration,(Ukrainian) War,Climate change,Protests,Terrorism,Natural disasters,Elections",10,4,,7,,84,98,,,,,,0,32,,62,3,,59,20,10,29,45,0,,,5,,16,,,,,,,
2023-03-19 15:58:33,2023-03-19 16:09:27,IP Address,213.124.170.67,100,654,True,2023-03-19 16:09:27,R_27vzmsRg7MPgC8y,,,,,51.8336,5.8857,anonymous,EN,"Yes, continue the survey",26,Never,Multiple times per day,"EU politics,Israeli-Palestinian conflict,Immigration,(Ukrainian) War,Climate change,Show business & Arts,Britsh politics / Brexit,Protests,Terrorism,US politics,Natural disasters,Elections,Economy",87,73,16,54,,100,100,19,100,52,23,12,77,12,51,23,77,78,24,,,,13,,,,,,,,,,,,,Student Finance / Student Aid / Social Security Spending Cuts
2023-03-19 18:43:07,2023-03-19 18:46:05,IP Address,83.83.173.5,100,178,True,2023-03-19 18:46:06,R_AmmhdNHQHBtLZxn,,,,,52.0919,4.3403,anonymous,EN,"Yes, continue the survey",24,Never,Once per week,"EU politics,Sports,Climate change,Show business & Arts,COVID-19,Space-travel",0,52,,79,,53,53,,53,,,,71,71,33,67,,,50,0,35,35,41,,0,,0,,100,,,,,,,
2023-03-19 18:43:29,2023-03-19 18:48:18,IP Address,145.107.95.114,100,288,True,2023-03-19 18:48:19,R_2DMRsdWUWvE9SRg,,,,,52.0892,5.1294,anonymous,EN,"Yes, continue the survey",22,Once per week,2-3 times per week,"EU politics,Immigration,(Ukrainian) War,Climate change,Space-travel,Terrorism,US politics,Natural disasters,Elections,Economy",67,8,0,0,0,100,50,0,0,0,50,0,17,36,66,50,100,35,4,0,22,22,3,0,0,0,52,0,0,,,,,,,
2023-03-19 19:30:40,2023-03-19 19:30:58,IP Address,190.88.200.67,100,18,True,2023-03-19 19:30:58,R_12EaQDUUtj0BjPM,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19 19:31:13,2023-03-19 19:31:22,Spam,190.88.200.67,100,8,True,2023-03-19 19:31:22,R_2Vfn5Y3hVLDH9Ic,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19 19:29:46,2023-03-19 19:32:32,IP Address,82.217.81.65,100,165,True,2023-03-19 19:32:33,R_10Gc97S3DgTxBKK,,,,,52.0565,4.328,anonymous,EN,"Yes, continue the survey",24,Never,Every day,"EU politics,Crimes,Immigration,US politics",12,94,0,88,,60,94,23,91,17,100,,90,88,,6,,,86,,88,50,52,100,0,,32,,,,,,,,,
2023-03-19 19:32:30,2023-03-19 19:35:25,IP Address,65.208.123.92,100,175,True,2023-03-19 19:35:26,R_ut5xLMCbreOGCHL,,,,,12.1804,-69.0016,anonymous,EN,"Yes, continue the survey",27,Never,2-3 times per week,"Crimes,Climate change,Space-travel,Natural disasters,Economy",,,,,,,,,,,,23,,,,,,,14,52,44,100,47,,,37,21,22,,,,,,,,"Global warming "
2023-03-19 19:32:47,2023-03-19 19:37:09,IP Address,190.88.7.212,100,261,True,2023-03-19 19:37:09,R_re9SjbtHwnmGF8Z,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",26,Never,Once per week,"Immigration,Sports,Climate change,Show business & Arts,COVID-19,US politics,Natural disasters,Elections,Economy",78,96,47,93,48,74,49,49,88,49,50,,76,88,89,67,88,100,50,22,23,88,88,89,,30,87,83,87,,,,,,,
2023-03-19 19:41:44,2023-03-19 19:42:17,IP Address,131.221.144.77,100,32,True,2023-03-19 19:42:17,R_2ZOBza7ClF0ZoEc,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19 19:42:52,2023-03-19 19:43:08,Spam,131.221.144.77,100,15,True,2023-03-19 19:43:08,R_1Cr34OKpKXq6nKU,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19 19:42:46,2023-03-19 19:45:58,IP Address,109.37.153.241,100,192,True,2023-03-19 19:45:58,R_2rHoMvRX8Ieci9Z,,,,,52.0672,5.1318,anonymous,EN,"Yes, continue the survey",23,Once per week,2-3 times per week,"Climate change,Show business & Arts,COVID-19,Institutional abuse,Protests,Terrorism,Natural disasters,Elections",,67,,32,,21,28,7,44,,22,,46,59,,86,12,5,100,15,22,100,45,,0,,,,62,,,,,,,
2023-03-19 19:47:27,2023-03-19 19:47:38,IP Address,31.21.119.36,100,11,True,2023-03-19 19:47:39,R_2UYF8v6VYqJsp2Q,,,,,52.3759,4.8975,anonymous,EN,"Yes, continue the survey",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19 19:49:48,2023-03-19 19:50:04,IP Address,138.255.253.7,100,15,True,2023-03-19 19:50:05,R_rlGarb02ekceQCJ,,,,,12.0975,-68.9177,anonymous,EN,"Yes, continue the survey",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19 19:49:51,2023-03-19 19:50:05,Spam,31.21.119.36,100,14,True,2023-03-19 19:50:05,R_2eQDK0L1atz9eLn,,,,,52.3759,4.8975,anonymous,EN,"Yes, continue the survey",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
