"Status","Progress","durationSec","Finished","ResponseId","introquestion","age","pushnotifications","readarticles","topicsinterested","distressed_EUPolitics","distressed_crimes","distressed_israelPalestine","distressed_immigration","distressed_sports","distressed_war","distressed_climateChange","distressed_showArts","distressed_covid","distressed_britishBrexit","distressed_instAbuse","distressed_spaceTravel","distressed_protest","distressed_terrorism","distressed_USPolitics","distressed_naturalDisasters","distressed_elections","distressed_economy","guard_suicide","guard_accidents","guard_physicalAbuse","guard_sexualAbuse","guard_selfHarm","guard_depression","guard_racism","guard_LGBTQ","guard_eatingDisorders","guard_disability","guard_animalCruelty","guard_other1","guard_other1_text","guard_other2","guard_other2_text","guard_other3","guard_other3_text","additional"
"IP Address",100,155,TRUE,"R_2w6xls0piuMa8hm","Yes, continue the survey",24,"Every day","Once per week","EU politics,Immigration,(Ukrainian) War,Climate change,Protests,Terrorism,Natural disasters,Elections",10,4,NA,7,NA,84,98,NA,NA,NA,NA,NA,0,32,NA,62,3,NA,59,20,10,29,45,0,NA,NA,5,NA,16,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,654,TRUE,"R_27vzmsRg7MPgC8y","Yes, continue the survey",26,"Never","Multiple times per day","EU politics,Israeli-Palestinian conflict,Immigration,(Ukrainian) War,Climate change,Show business & Arts,Britsh politics / Brexit,Protests,Terrorism,US politics,Natural disasters,Elections,Economy",87,73,16,54,NA,100,100,19,100,52,23,12,77,12,51,23,77,78,24,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Student Finance / Student Aid / Social Security Spending Cuts"
"IP Address",100,178,TRUE,"R_AmmhdNHQHBtLZxn","Yes, continue the survey",24,"Never","Once per week","EU politics,Sports,Climate change,Show business & Arts,COVID-19,Space-travel",0,52,NA,79,NA,53,53,NA,53,NA,NA,NA,71,71,33,67,NA,NA,50,0,35,35,41,NA,0,NA,0,NA,100,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,288,TRUE,"R_2DMRsdWUWvE9SRg","Yes, continue the survey",22,"Once per week","2-3 times per week","EU politics,Immigration,(Ukrainian) War,Climate change,Space-travel,Terrorism,US politics,Natural disasters,Elections,Economy",67,8,0,0,0,100,50,0,0,0,50,0,17,36,66,50,100,35,4,0,22,22,3,0,0,0,52,0,0,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,18,TRUE,"R_12EaQDUUtj0BjPM","Yes, continue the survey",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spam",100,8,TRUE,"R_2Vfn5Y3hVLDH9Ic","Yes, continue the survey",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,165,TRUE,"R_10Gc97S3DgTxBKK","Yes, continue the survey",24,"Never","Every day","EU politics,Crimes,Immigration,US politics",12,94,0,88,NA,60,94,23,91,17,100,NA,90,88,NA,6,NA,NA,86,NA,88,50,52,100,0,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,175,TRUE,"R_ut5xLMCbreOGCHL","Yes, continue the survey",27,"Never","2-3 times per week","Crimes,Climate change,Space-travel,Natural disasters,Economy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,14,52,44,100,47,NA,NA,37,21,22,NA,NA,NA,NA,NA,NA,NA,"Global warming"
"IP Address",100,261,TRUE,"R_re9SjbtHwnmGF8Z","Yes, continue the survey",26,"Never","Once per week","Immigration,Sports,Climate change,Show business & Arts,COVID-19,US politics,Natural disasters,Elections,Economy",78,96,47,93,48,74,49,49,88,49,50,NA,76,88,89,67,88,100,50,22,23,88,88,89,NA,30,87,83,87,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,32,TRUE,"R_2ZOBza7ClF0ZoEc","Yes, continue the survey",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
