"Status","Progress","durationSec","Finished","ResponseId","introquestion","age","pushnotifications","readarticles","distressed_EUPolitics","distressed_crimes","distressed_israelPalestine","distressed_immigration","distressed_sports","distressed_war","distressed_climateChange","distressed_showArts","distressed_covid","distressed_britishBrexit","distressed_instAbuse","distressed_spaceTravel","distressed_protest","distressed_terrorism","distressed_USPolitics","distressed_naturalDisasters","distressed_elections","distressed_economy","guard_suicide","guard_accidents","guard_physicalAbuse","guard_sexualAbuse","guard_selfHarm","guard_depression","guard_racism","guard_LGBTQ","guard_eatingDisorders","guard_disability","guard_animalCruelty","guard_other1","guard_other1_text","guard_other2","guard_other2_text","guard_other3","guard_other3_text","additional","interest_EUPolitics","interest_crimes","interest_israelPalestine","interest_immigration","interest_sports","interest_war","interest_climateChange","interest_showArts","interest_covid","interest_britishBrexit","interest_instAbuse","interest_spaceTravel","interest_protests","interest_terrorism","interest_USPolitics","interest_naturalDisasters","interest_elections","interest_economy","fit.cluster"
"IP Address",100,155,TRUE,"R_2w6xls0piuMa8hm","Yes, continue the survey",24,1,0.142857142857143,10,4,0,7,0,84,98,0,0,0,0,0,0,32,0,62,3,0,59,20,10,29,45,0,0,0,5,0,16,0,"0",0,0,0,0,"0",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"4"
"IP Address",100,654,TRUE,"R_27vzmsRg7MPgC8y","Yes, continue the survey",26,0,3,87,73,16,54,0,100,100,19,100,52,23,12,77,12,51,23,77,78,24,0,0,0,13,0,0,0,0,0,0,0,"0",0,0,0,0,"Student Finance / Student Aid / Social Security Spending Cuts",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"3"
"IP Address",100,178,TRUE,"R_AmmhdNHQHBtLZxn","Yes, continue the survey",24,0,0.142857142857143,0,52,0,79,0,53,53,0,53,0,0,0,71,71,33,67,0,0,50,0,35,35,41,0,0,0,0,0,100,0,"0",0,0,0,0,"0",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1"
"IP Address",100,288,TRUE,"R_2DMRsdWUWvE9SRg","Yes, continue the survey",22,0.142857142857143,0.357142857142857,67,8,0,0,0,100,50,0,0,0,50,0,17,36,66,50,100,35,4,0,22,22,3,0,0,0,52,0,0,0,"0",0,0,0,0,"0",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"4"
"IP Address",100,165,TRUE,"R_10Gc97S3DgTxBKK","Yes, continue the survey",24,0,1,12,94,0,88,0,60,94,23,91,17,100,0,90,88,0,6,0,0,86,0,88,50,52,100,0,0,32,0,0,0,"0",0,0,0,0,"0",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1"
"IP Address",100,175,TRUE,"R_ut5xLMCbreOGCHL","Yes, continue the survey",27,0,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,14,52,44,100,47,0,0,37,21,22,0,0,"0",0,0,0,0,"Global warming",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"2"
"IP Address",100,261,TRUE,"R_re9SjbtHwnmGF8Z","Yes, continue the survey",26,0,0.142857142857143,78,96,47,93,48,74,49,49,88,49,50,0,76,88,89,67,88,100,50,22,23,88,88,89,0,30,87,83,87,0,"0",0,0,0,0,"0",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"5"
"IP Address",100,192,TRUE,"R_2rHoMvRX8Ieci9Z","Yes, continue the survey",23,0.142857142857143,0.357142857142857,0,67,0,32,0,21,28,7,44,0,22,0,46,59,0,86,12,5,100,15,22,100,45,0,0,0,0,0,62,0,"0",0,0,0,0,"0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"1"
"IP Address",100,155,TRUE,"R_DAUOEFPmB3D0dVL","Yes, continue the survey",29,0,0.357142857142857,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,63,12,63,63,35,13,13,2,3,3,3,0,"0",0,0,0,0,"Related to wars",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2"
"IP Address",100,175,TRUE,"R_1FIXo0OVnJIuL73","Yes, continue the survey",23,0.357142857142857,0.142857142857143,100,100,35,51,0,100,100,14,73,56,100,0,85,100,73,100,75,79,0,0,0,0,0,0,8,0,0,0,0,0,"0",0,0,0,0,"No",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"3"
"IP Address",100,177,TRUE,"R_3skzf94dAlscujL","Yes, continue the survey",22,3,1,47,63,48,6,0,94,100,0,65,52,74,2,3,67,48,78,39,74,10,66,67,66,0,0,0,0,60,0,0,0,"0",0,0,0,0,"0",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"3"
"IP Address",100,112,TRUE,"R_Ry88OmaGa2h5e4F","Yes, continue the survey",24,0.142857142857143,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"2"
"IP Address",100,341,TRUE,"R_1pRvTAACK8ITeH1","Yes, continue the survey",19,0,0,100,57,82,17,0,100,77,15,37,0,99,0,84,49,30,88,25,45,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"3"
"IP Address",100,144,TRUE,"R_30d76mux4AjyXzF","Yes, continue the survey",26,0,0.142857142857143,0,74,68,65,0,0,0,0,0,0,0,0,0,83,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"2"
"IP Address",100,212,TRUE,"R_2VKMcyJj1oOxbhh","Yes, continue the survey",25,0,0.357142857142857,25,51,26,39,0,26,52,0,62,0,43,20,26,36,29,24,26,22,55,47,57,61,68,37,77,50,33,28,27,0,"0",0,0,0,0,"0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1"
"IP Address",100,154,TRUE,"R_1hJPsbYXxMO6b84","Yes, continue the survey",24,1,1,45,86,41,96,15,86,100,0,0,0,100,0,8,55,61,36,21,100,52,11,19,8,88,81,100,100,0,4,0,0,"0",0,0,0,0,"0",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"5"
"IP Address",100,165,TRUE,"R_3EBjkwLlXYontg5","Yes, continue the survey",22,0,0.357142857142857,52,52,92,30,0,86,100,0,23,58,92,62,68,78,92,68,27,11,32,0,17,19,46,20,4,9,33,33,74,0,"0",0,0,0,0,"0",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"3"
"IP Address",100,155,TRUE,"R_1B5okJRAXq37dEB","Yes, continue the survey",26,1,0.357142857142857,0,0,0,0,19,18,0,0,0,0,0,0,17,13,0,29,12,22,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"No",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"2"
"IP Address",100,356,TRUE,"R_3iyGkFWhJR07NTJ","Yes, continue the survey",29,0,3,16,93,92,12,0,37,85,15,21,0,100,8,6,92,100,14,100,100,74,6,83,83,86,83,4,9,92,90,96,0,"0",0,0,0,0,"0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"5"
