identifica,naam,code,ligtInProv,ligtInPr_1,fuuid,Energy_MW_sum
GM0361,Alkmaar,"0361","27",Noord-Holland,gemeentegebied.26c6f2e5-6eb3-45d3-9151-e4388c2c6841,433.000000
GM0383,Castricum,"0383","27",Noord-Holland,gemeentegebied.989ecff3-4ee2-480a-aec4-27fafda4dfde,95.000000
GM0385,Edam-Volendam,"0385","27",Noord-Holland,gemeentegebied.1cffa3a9-2151-4d41-a6d0-73b77b9d3134,80.000000
GM0388,Enkhuizen,"0388","27",Noord-Holland,gemeentegebied.8452801f-7d0e-4fa1-9d36-7313e0c50a6d,20.000000
GM0399,Heiloo,"0399","27",Noord-Holland,gemeentegebied.e15d5080-636a-4164-bb0d-7b78d95677ad,14.000000
GM0373,Bergen (NH),"0373","27",Noord-Holland,gemeentegebied.0579c8ad-127b-4daf-8a6c-841664dac5df,161.000000
GM0405,Hoorn,"0405","27",Noord-Holland,gemeentegebied.66cdd235-0ee3-472e-b99d-d25b891be98a,
GM0420,Medemblik,"0420","27",Noord-Holland,gemeentegebied.87d7e9d1-55a3-4808-a5a3-ea53b29290d0,511.000000
GM0432,Opmeer,"0432","27",Noord-Holland,gemeentegebied.b06b10b8-6f64-4cc1-b770-ff904a124368,142.000000
GM0439,Purmerend,"0439","27",Noord-Holland,gemeentegebied.f1b13a0d-4f83-4f5f-a8d6-2f3c0ee2633d,500.000000
GM0441,Schagen,"0441","27",Noord-Holland,gemeentegebied.20d6ae9a-78fe-4c65-925d-61a1d7a928bf,921.000000
GM0450,Uitgeest,"0450","27",Noord-Holland,gemeentegebied.58e253cc-dadb-4be9-9c04-42b2be869940,50.000000
GM0498,Drechterland,"0498","27",Noord-Holland,gemeentegebied.c49c7912-47df-470c-b3de-00dfe6041077,326.000000
GM0532,Stede Broec,"0532","27",Noord-Holland,gemeentegebied.c7b18792-fa86-47b9-ae13-0b3fcea7ec25,26.000000
GM0880,Wormerland,"0880","27",Noord-Holland,gemeentegebied.390834c4-1e6d-41cb-a928-ee504f64e2dc,104.000000
GM0995,Lelystad,"0995","24",Flevoland,gemeentegebied.1f675f3f-ed06-4cf0-a904-dd4c45dba099,
GM1598,Koggenland,"1598","27",Noord-Holland,gemeentegebied.1f7ecd72-152f-444a-8283-61b3fb69778c,438.000000
GM1911,Hollands Kroon,"1911","27",Noord-Holland,gemeentegebied.ca41d239-f858-47c9-946c-e3415bf42630,2243.000000
GM1980,Dijk en Waard,"1980","27",Noord-Holland,gemeentegebied.44605d4f-4211-439f-a2fa-da9e74685e36,139.000000
GM0400,Den Helder,"0400","27",Noord-Holland,gemeentegebied.d1d90cc2-5370-4b8e-9174-19d10c2133ca,140.000000
